Stock,Predecision
SJM,FALSE
CGNX,FALSE
CINF,FALSE
HBAN,FALSE
HBANN,#N/A
HBANO,#N/A
FDS,FALSE
NTAP,FALSE
OIBR.C,FALSE
OSH,#N/A
CCK,FALSE
BAP,FALSE
SLV,#N/A
LNT,FALSE
RJF,FALSE
POOL,FALSE
ENTG,FALSE
DISCA,FALSE
DISCB,FALSE
DISCK,FALSE
WPP,#N/A
KEP,FALSE
GNRC,FALSE
AVY,FALSE
PTC,FALSE
BRO,FALSE
CABO,FALSE
MOH,FALSE
CXO,#N/A
CHRW,FALSE
PKG,FALSE
LN,#N/A
JHX,FALSE
HAS,TRUE
SRPT,#N/A
OTEX,FALSE
EVRG,#N/A
CNP,#N/A
ASX,#N/A
ESTC,#N/A
IAC,#N/A
IFF,FALSE
GH,#N/A
VBK,#N/A
ABMD,FALSE
WPC,FALSE
ON,FALSE
XLI,#N/A
IHG,#N/A
ATO,FALSE
AQN,FALSE
AQNA,#N/A
AQNB,#N/A
DVA,TRUE
BAH,FALSE
IWO,#N/A
PPD,#N/A
ARES,FALSE
JKHY,FALSE
EQH,#N/A
WRB,FALSE
IWS,#N/A
ALLY,FALSE
MYOK,#N/A
UDR,FALSE
IWV,#N/A
BEN,FALSE
ENIA,FALSE
L,#N/A
NUAN,FALSE
GFL,#N/A
TECH,FALSE
IEP,#N/A
CRL,FALSE
XRAY,#N/A
MRTX,#N/A
NLY,#N/A
WRK,#N/A
WTRG,FALSE
NDSN,TRUE
LUMN,FALSE
WHR,TRUE
ATHM,FALSE
SAM,FALSE
DNB,#N/A
NLOK,FALSE
RUN,FALSE
UHS,FALSE
MTN,FALSE
VHT,#N/A
RPM,TRUE
IPGP,FALSE
LKQ,FALSE
PHM,TRUE
TEVA,#N/A
FBHS,TRUE
CEA,#N/A
GGG,FALSE
IGIB,FALSE
LW,FALSE
ARGX,#N/A
DT,#N/A
OLED,FALSE
QGEN,FALSE
HST,#N/A
NWS,#N/A
NWSA,#N/A
MPW,FALSE
HWM,FALSE
PLUG,#N/A
PENN,#N/A
RDY,FALSE
XPO,FALSE
TXT,FALSE
FNF,FALSE
ELS,FALSE
GWRE,#N/A
SBSW,FALSE
XLU,#N/A
YSG,#N/A
LB,#N/A
PCTY,FALSE
APPN,#N/A
ICLR,FALSE
LNC,FALSE
LII,TRUE
PEGA,#N/A
ALLE,FALSE
WLK,FALSE
CRSP,#N/A
GLIBA,#N/A
GLIBP,#N/A
AAP,FALSE
TAP,FALSE
TAP.A,#N/A
CREE,#N/A
ERIE,FALSE
CG,#N/A
BILL,#N/A
FFIV,FALSE
JNK,#N/A
IBB,FALSE
IUSG,FALSE
GL,FALSE
CBOE,#N/A
FSLY,#N/A
HNP,FALSE
BFAM,FALSE
TECK,#N/A
TS,#N/A
MMP,FALSE
FIVN,#N/A
BCH,FALSE
AAL,#N/A
RGEN,FALSE
CNA,FALSE
PLAN,#N/A
IWN,#N/A
PWR,FALSE
SNA,FALSE
CPT,FALSE
DADA,#N/A
CHGG,#N/A
HSIC,FALSE
BWA,FALSE
VXF,#N/A
TTC,FALSE
SMG,TRUE
GLPI,FALSE
ARMK,#N/A
ZLAB,#N/A
WB,TRUE
ACH,#N/A
ZNGA,#N/A
FSLR,FALSE
MHK,FALSE
LEA,FALSE
RE,FALSE
MLCO,#N/A
VST,FALSE
NWL,#N/A
IPG,FALSE
AMH,FALSE
SJR,FALSE
BSY,#N/A
PNW,FALSE
NI,#N/A
AZPN,FALSE
DLB,FALSE
RH,FALSE
AU,FALSE
ZEAL,#N/A
KGC,FALSE
FIVE,FALSE
NBIX,FALSE
BSAC,FALSE
NVTA,#N/A
WU,TRUE
DOX,FALSE
KC,#N/A
ASND,#N/A
ATH,FALSE
DNKN,FALSE
HUBB,TRUE
BYND,#N/A
Y,#N/A
STOR,FALSE
DNLI,#N/A
HDS,FALSE
FND,FALSE
MOS,#N/A
MORN,FALSE
ACAD,#N/A
TREX,FALSE
BG,FALSE
OZON,#N/A
WSM,FALSE
OHI,FALSE
SCI,FALSE
PNR,TRUE
MBT,TRUE
UHAL,FALSE
RARE,#N/A
AGNCP,#N/A
AGNC,#N/A
AGNCM,#N/A
AGNCN,#N/A
AGNCO,#N/A
CX,#N/A
CF,FALSE
WSO,FALSE
WSO.B,FALSE
WEX,FALSE
FLEX,FALSE
RGA,FALSE
RZA,#N/A
RZB,#N/A
NRG,FALSE
DBX,#N/A
CIB,FALSE
IRM,FALSE
JAZZ,FALSE
BEPC,#N/A
MKSI,FALSE
RNR,FALSE
VER,FALSE
REG,FALSE
AMED,FALSE
NCLH,#N/A
GNTX,FALSE
CONE,#N/A
ATR,FALSE
BRKR,FALSE
SEIC,FALSE
TTM,#N/A
IVZ,FALSE
STLD,FALSE
LAMR,FALSE
AEG,FALSE
AEB,#N/A
QDEL,FALSE
TPR,#N/A
OCFT,#N/A
DECK,FALSE
DAR,FALSE
ALV,FALSE
IAA,#N/A
IVW,#N/A
LPLA,FALSE
OC,#N/A
NVAX,#N/A
GPS,#N/A
CSL,FALSE
VNO,FALSE
EHC,TRUE
AFG,FALSE
AFGB,#N/A
AFGC,#N/A
AFGD,#N/A
AFGE,#N/A
AAXN,#N/A
ST,FALSE
LEVI,#N/A
AYX,#N/A
NYT,FALSE
IPHI,#N/A
LAD,FALSE
AIZ,FALSE
AIZP,#N/A
NFE,#N/A
G,FALSE
EWZ,#N/A
RS,FALSE
ACM,FALSE
GFI,FALSE
SHC,#N/A
MIDD,FALSE
H,#N/A
NCNO,#N/A
PEN,#N/A
RBA,FALSE
CHE,FALSE
IUSV,FALSE
CMA,FALSE
EV,FALSE
RHI,FALSE
UGI,FALSE
VOYA,#N/A
BTG,FALSE
LSPD,#N/A
CHDN,#N/A
NTRA,#N/A
VFH,#N/A
FANG,#N/A
BBU,#N/A
AOS,TRUE
JLL,FALSE
CBSH,FALSE
GOL,#N/A
WWD,FALSE
IIVI,#N/A
IIVIP,#N/A
KRC,FALSE
FSV,FALSE
MRVI,#N/A
BERY,FALSE
FHN,FALSE
ARCC,FALSE
AFC,#N/A
PRAH,FALSE
SWI,#N/A
ARW,FALSE
NKLA,#N/A
CIEN,FALSE
JNPR,FALSE
RGLD,FALSE
CALT,#N/A
GLOB,FALSE
ZION,FALSE
ZIONO,FALSE
ZIONL,FALSE
ZIONP,FALSE
